✈️​ ENTRADAS AEROLINEAS ✈️​ - ACT 9APR;;;;;;;;;;;;;;
;AEROLINEA;;TARIFA;ENTRADA;CONDICIONES;;FEE;;;;;;;
;;;;;;;;;;;;;;
;LATAM;;Basic;/FF-QP;artículo personal;;;;;;;;;
;;;Light;/FF-SL;art. personal + equipaje de mano;;;;;;;;;
;;;Standard;/FF-KM;art. personal + eq. de mano + eq. en bodega ;;;;;;;;;
;;;Full;/FF-KD ;art. personal + eq. de mano + eq. en bodega + asiento standard + cambio sin penalidad;;;;;;;;;
;;;;;;;;;;;;;;
;;;Más info: tarifas LA;;NDC LA;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;GOL ;;Basic;/FF-BI;artículo personal;;;;;;;;;
;;;Light;/FF-LI;art. personal + equipaje de mano;;;;;;;;;
;;;Classic;/FF-CL;art. personal + eq. de mano + eq. en bodega;;;;;;;;;
;;;Flex;/FF-FL;art. personal + eq. de mano + eq. en bodega ;;;;;;;;;
;;;;;;;;;;;;;;
;;;Más info: tarifas G3;;1G3AD20MAYMVDRIO;;;;/R,U*OPERINT5;;RT saliendo de MVD;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;JETSMART;;Basic;/FF-TS;artículo personal;;;;;;;;;
;;;Travel;/FF-i0;art. personal + equipaje en bodega;;;;;;;;;
;;;Light;/FF-i1;art. personal + equipaje de mano;;;;;;;;;
;;;Smart;/FF-i2;art. personal + eq. de mano + eq. en bodega + asiento;;;;;;;;;
;;;Flex;/FF-i3;art. pers + eq de mano + eq. en bod + reemb + asiento;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;SKY;;Zero;/FF-ZO;artículo personal;;;;;;;;;
;;;Light;/FF-LT;art. personal + equipaje de mano;;;;;;;;;
;;;Standard;/FF-ED;art. personal + eq. en bodega + asiento standard;;;;;;;;;
;;;Max;/FF-PL;art. personal + eq. de mano + eq. en bodega + asiento standard;;;;;;;;;
;;;Flex;/FF-FL;art. personal + eq. de mano + eq. en bodega + cambio nombre, fecha y destino;;;;;;;;;
;;;;;;;;;;;;;;
;;;Más info: tarifas H2;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;AEROLINEAS ARGENTNBAS ;;Promo;/FF-EE;artículo personal;;;;;;;;;
;;;Base;/FF-EB;art. personal + equipaje de mano;;;;;;;;;
;;;Plus;/FF-EP;art. personal + eq. de mano + eq. en bodega;;;;;;equipaje en bodega para vuelos internos arg.: 15 kg máx.;;;
;;;Flex;/FF-EF;art. personal + eq. de mano + eq. en bodega ;;;;;;equipaje en bodega para vuelos internacionales: 23 kg máx.;;;
;;;;;;;;;;;;;;
;;;Más info: tarifas AR;;over 3% sobre tarifa base;;SIN FEE - solo RT saliendo de MVD;;; Sevens y Aeromundo ;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;AVIANCA ;;Basic;No figura en AMS;artículo personal;;;;;;;;;
;;;Light;/FF-LIGHT;art. personal + equipaje de mano ;;;;;;;;;
;;;Classic;/FF-CLASSIC;art. personal + equipaje de mano + equipaje en bodega + asiento standard;;;;;;;;;
;;;Flex;/FF-FLEX;art. personal + eq. de mano + eq. en bodega + asiento plus + cambio sin penalidad;;;;;;;;;
;;;;;;;;;;;;;;
;;;Más info: tarifas AV;;NDC en modo gráfico Amadeus;;;;/R,U*020325;aplica para ADZ, CTG, SMR, MCO, MIA, SDQ, PUJ, PTY, HAV, CUN, AUA, CUR;;;;
;;;;;;PLANET;;;/R,U*AVIT15;;;;;
;;;;;;;;;;;;;;
;AIR EUROPA ;;Lite;/FF-LITE;art. personal + equipaje de mano;;;;;;;;;
;;;Standard;/FF-STANDARD;art. personal + eq. de mano + eq. en bodega;;;;;;;;;
;;;Flex;/FF-FLEX;art. personal + eq. de mano + eq. en bodega + asiento preferred + cambio sin penalidad;;;;;;;;;
;;;;;;;;;;;;;;
;;;Más info: tarifas UX;;/R,U;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;IBERIA ;;Básica;/FF-BASICA;art. personal + equipaje de mano;;;;;;;;;
;;;Optima;/FF-OPTIMA;art. personal + eq. de mano + eq. en bodega + asiento al check in;;;;;;;;;
;;;Comfort;/FF-COMFORT;art. personal + eq. de mano + eq. en bodega + asiento standard + primer cambio sin penalidad;;;;;;;;;
;;;Flexible;/FF-FLEX;art. personal + eq. de mano + eq. en bodega + asiento standard + cambios sin penalidad;;;;;;;;;
;;;;;;;;;;;;;;
;;;Más info: tarifas IB;;NDC en modo gráfico Amadeus;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;COPA ;;Basic;/FF-BASIC;art. personal + eq. de mano  ;;;;;;;;;
;;;Classic;/FF-CLASSIC;art. personal + eq. de mano + eq. en bodega + asiento regular;;;;;;;;;
;;;Full;/FF-FULL;art. personal + eq. de mano + 2 eq. en bodega + asientos premium + cambio sin penalidad + reemblsable;;;;;;;;;
;;;;;;;;;;;;;;
;;;Más info: tarifas CM;;NDC CM;;;;;;;;;
;;;;;;;;;;;;;;
