;                        Tarifario de Traslados;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;TARIFA REGULAR POR PAX IN/OUT;;TARIFA PRIVADA POR RUTA;;;;;;;
;TRAYECTO;ADULTOS;CHILDS (2-10 años);1 - 6 PAX;7 - 21 PAX;22 - 33 PAX;34 - 54 PAX;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL PUNTA CANA;13,00;8,00;45,00;120,00;160,00;210,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL UVERO ALTO;26,00;13,00;69,00;159,00;199,00;299,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL CAP CANA;X;X;69,00;159,00;199,00;299,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL BAYAHIBE;39,00;20,00;99,00;179,00;359,00;459,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL LA ROMANA;49,00;25,00;119,00;209,00;399,00;499,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL JUAN DOLIO;X;X;149,00;279,00;439,00;499,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL BOCA CHICA;X;X;149,00;279,00;439,00;499,00;;;;
;PUNTA CANA AIRPORT (PUJ) - PUERTO DE LA ROMANA (LRM);X;X;119,00;209,00;399,00;499,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL SANTO DOMINGO;X;X;159,00;279,00;499,00;599,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL SAMANA;X;X;359,00;559,00;799,00;959,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL STGO DE LOS CABALLEROS;X;X;319,00;519,00;759,00;859,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL PUERTO PLATA;X;X;359,00;559,00;799,00;899,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL CABARETE;X;X;359,00;559,00;799,00;859,00;;;;
;PUNTA CANA AIRPORT (PUJ) - HTL MICHES;X;X;159,00;249,00;359,00;409,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL PUNTA CANA;49,00;30,00;149,00;219,00;399,00;599,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL UVERO ALTO;60,00;39,00;169,00;229,00;399,00;599,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL CAP CANA;X;X;169,00;229,00;399,00;599,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL BAYAHIBE;49,00;25,00;119,00;199,00;319,00;499,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL LA ROMANA;40,00;20,00;119,00;199,00;319,00;499,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL JUAN DOLIO;39,00;20,00;89,00;199,00;439,00;489,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL BOCA CHICA;39,00;20,00;69,00;139,00;199,00;259,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL SANTO DOMINGO;X;X;69,00;139,00;199,00;259,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL SAMANA;X;X;239,00;399,00;499,00;699,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL STGO DE LOS CABALLEROS;X;X;199,00;269,00;489,00;689,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL PUERTO PLATA;X;X;199,00;269,00;489,00;689,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL CABARETE;X;X;259,00;449,00;609,00;789,00;;;;
;SANTO DOMINGO AIRPORT (SDQ) - HTL MICHES;X;X;309,00;489,00;599,00;1219,00;;;;
;PUERTO PLATA AIRPORT (POP) - HTL SAMANA;X;X;259,00;549,00;699,00;799,00;;;;
;PUERTO PLATA AIRPORT (POP) - HTL PUERTO PLATA;X;X;99,00;159,00;199,00;249,00;;;;
;PUERTO PLATA AIRPORT (POP) - HTL STGO DE LOS CABALLEROS;X;X;99,00;199,00;429,00;529,00;;;;
;PUERTO PLATA AIRPORT (POP) - HTL CABARETE;X;X;99,00;209,00;429,00;529,00;;;;
;PUERTO PLATA AIRPORT (POP) - HTL BAYAHIBE;X;X;229,00;489,00;689,00;799,00;;;;
;PUERTO PLATA AIRPORT (POP) - HTL SANTO DOMINGO;X;X;199,00;279,00;499,00;689,00;;;;
;PUERTO PLATA AIRPORT (POP) - HTL PUNTA CANA;X;X;399,00;499,00;699,00;799,00;;;;
;STGO DE LOS CABALLEROS (STI) HTL PUERTO PLATA;X;X;99,00;199,00;429,00;529,00;;;;
;STGO DE LOS CABALLEROS (STI) HTL STGO DE LOS CABALLEROS;X;X;;;;;;;;
;PUERTO DE LA ROMANA (LRM) - HTL PUNTA CANA;X;X;129,00;145,00;315,00;415,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL UVERO ALTO;X;X;149,00;209,00;389,00;489,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL CAP CANA;X;X;139,00;259,00;359,00;459,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL BAYAHIBE;X;X;99,00;129,00;199,00;249,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL LA ROMANA;X;X;89,00;119,00;189,00;229,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL JUAN DOLIO;X;X;119,00;145,00;315,00;415,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL BOCA CHICA;X;X;119,00;145,00;315,00;415,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL SANTO DOMINGO;X;X;129,00;209,00;389,00;489,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL SAMANA;X;X;299,00;589,00;998,00;1109,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL STGO DE LOS CABALLEROS;X;X;269,00;499,00;789,00;1199,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL PUERTO PLATA;X;X;269,00;499,00;789,00;1199,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL CABARETE;X;X;349,00;659,00;998,00;1249,00;;;;
;PUERTO DE LA ROMANA (LRM) - HTL MICHES;X;X;299,00;459,00;589,00;1199,00;;;;
;HTL PUNTA CANA - HTL UVERO ALTO;X;X;65,00;159,00;199,00;259,00;;;;
;HTL PUNTA CANA - HTL CAP CANA;X;X;65,00;159,00;199,00;259,00;;;;
;HTL PUNTA CANA - HTL BAYAHIBE;X;X;109,00;145,00;315,00;415,00;;;;
;HTL PUNTA CANA - HTL LA ROMANA;X;X;129,00;145,00;315,00;415,00;;;;
;HTL PUNTA CANA - HTL JUAN DOLIO;X;X;149,00;279,00;439,00;489,00;;;;
;HTL PUNTA CANA - HTL BOCA CHICA;X;X;159,00;289,00;449,00;499,00;;;;
;HTL PUNTA CANA - HTL SANTO DOMINGO;X;X;169,00;279,00;439,00;489,00;;;;
;HTL PUNTA CANA - HTL SAMANA;X;X;299,00;459,00;799,00;1049,00;;;;
;HTL PUNTA CANA - HTL STGO DE LOS CABALLEROS;X;X;309,00;509,00;899,00;1199,00;;;;
;HTL PUNTA CANA - HTL PUERTO PLATA;X;X;329,00;509,00;899,00;1199,00;;;;
;HTL PUNTA CANA - HTL CABARETE;X;X;399,00;699,00;1099,00;1399,00;;;;
;HTL PUNTA CANA - HTL MICHES;X;X;159,00;209,00;329,00;409,00;;;;
;HTL UVERO ALTO - HTL PUNTA CANA;X;X;65,00;139,00;199,00;259,00;;;;
;HTL UVERO ALTO - HTL CAP CANA;X;X;99,00;130,00;190,00;450,00;;;;
;HTL UVERO ALTO - HTL BAYAHIBE;X;X;129,00;199,00;389,00;499,00;;;;
;HTL UVERO ALTO - HTL LA ROMANA;X;X;149,00;219,00;399,00;519,00;;;;
;HTL UVERO ALTO - HTL JUAN DOLIO;X;X;159,00;219,00;339,00;549,00;;;;
;HTL UVERO ALTO - HTL BOCA CHICA;X;X;159,00;219,00;339,00;549,00;;;;
;HTL UVERO ALTO - HTL SANTO DOMINGO;X;X;169,00;289,00;399,00;599,00;;;;
;HTL UVERO ALTO - HTL SAMANA;X;X;299,00;459,00;799,00;1049,00;;;;
;HTL UVERO ALTO - HTL STGO DE LOS CABALLEROS;X;X;309,00;509,00;899,00;1199,00;;;;
;HTL UVERO ALTO - HTL PUERTO PLATA;X;X;329,00;509,00;899,00;1199,00;;;;
;HTL UVERO ALTO - HTL CABARETE;X;X;399,00;699,00;1099,00;1399,00;;;;
;HTL UVERO ALTO - HTL MICHES;X;X;199,00;249,00;359,00;409,00;;;;
;HTL CAP CANA - HTL PUNTA CANA;X;X;49,00;89,00;129,00;199,00;;;;
;HTL CAP CANA - HTL UVERO ALTO;X;X;99,00;130,00;190,00;450,00;;;;
;HTL CAP CANA - HTL BAYAHIBE;X;X;99,00;130,00;190,00;450,00;;;;
;HTL CAP CANA - HTL LA ROMANA;X;X;119,00;145,00;315,00;415,00;;;;
;HTL CAP CANA - HTL JUAN DOLIO;X;X;159,00;279,00;439,00;489,00;;;;
;HTL CAP CANA - HTL BOCA CHICA;X;X;169,00;289,00;449,00;499,00;;;;
;HTL CAP CANA - HTL SANTO DOMINGO;X;X;159,00;279,00;439,00;489,00;;;;
;HTL CAP CANA - HTL SAMANA;X;X;299,00;459,00;799,00;1049,00;;;;
;HTL CAP CANA - HTL STGO DE LOS CABALLEROS;X;X;269,00;509,00;959,00;1209,00;;;;
;HTL CAP CANA - HTL PUERTO PLATA;X;X;329,00;509,00;899,00;1199,00;;;;
;HTL CAP CANA - HTL CABARETE;X;X;399,00;699,00;1099,00;1399,00;;;;
;HTL CAP CANA - HTL MICHES;X;X;199,00;249,00;359,00;409,00;;;;
;HTL BAYAHIBE - HTL PUNTA CANA;X;X;109,00;145,00;315,00;415,00;;;;
;HTL BAYAHIBE - HTL UVERO ALTO;X;X;129,00;190,00;310,00;550,00;;;;
;HTL BAYAHIBE - HTL CAP CANA;X;X;129,00;190,00;310,00;550,00;;;;
;HTL BAYAHIBE - HTL LA ROMANA;X;X;55,00;150,00;208,00;335,00;;;;
;HTL BAYAHIBE - HTL JUAN DOLIO;X;X;149,00;220,00;340,00;580,00;;;;
;HTL BAYAHIBE - HTL BOCA CHICA;X;X;169,00;270,00;380,00;620,00;;;;
;HTL BAYAHIBE - HTL SANTO DOMINGO;X;X;119,00;145,00;315,00;415,00;;;;
;HTL BAYAHIBE - HTL SAMANA;X;X;299,00;399,00;699,00;899,00;;;;
;HTL BAYAHIBE - HTL STGO DE LOS CABALLEROS;X;X;279,00;379,00;659,00;859,00;;;;
;HTL BAYAHIBE - HTL PUERTO PLATA;X;X;280,00;520,00;990,00;1400,00;;;;
;HTL BAYAHIBE - HTL CABARETE;X;X;380,00;690,00;1090,00;1550,00;;;;
;HTL BAYAHIBE - HTL MICHES;X;X;400,00;680,00;880,00;1300,00;;;;
;HTL LA ROMANA - HTL PUNTA CANA;X;X;119,00;145,00;315,00;415,00;;;;
